Match,Score,Position,Win,Actor_Loss,Critic_Loss
0,0.4888,2,0,0.5272,0.8853
1,0.5501,2,0,0.5666,0.8487
2,0.444,2,0,0.523,0.9306
3,0.0063,4,0,0.5879,0.8945
4,0.4569,2,0,0.5121,0.8786
5,0.4688,2,0,0.5574,0.8484
6,0.4665,3,0,0.5587,0.8698
7,0.7651,1,1,0.552,0.8117
8,0.9837,1,1,0.5206,0.8864
9,0.8806,1,1,0.5155,0.8917
10,0.1208,3,0,0.5607,0.8671
11,0.0,4,0,0.5547,0.8295
12,0.0256,4,0,0.553,0.8699
13,0.0859,4,0,0.554,0.878
14,0.8721,1,1,0.4987,0.8302
15,0.0757,4,0,0.4967,0.8785
16,0.8742,1,1,0.5131,0.8643
17,0.3063,3,0,0.5155,0.8385
18,0.7025,1,1,0.512,0.828
19,1.0,1,1,0.5278,0.8375
20,0.2524,3,0,0.5432,0.8118
21,0.0614,4,0,0.5136,0.8469
22,0.1277,3,0,0.5017,0.8539
23,0.3889,2,0,0.5329,0.8703
24,0.0,4,0,0.5096,0.8423
25,0.1916,3,0,0.516,0.8432
26,0.8047,1,1,0.5058,0.8216
27,0.1354,3,0,0.5179,0.8015
28,0.0702,4,0,0.4894,0.813
29,0.3704,3,0,0.5228,0.8668
30,0.4074,2,0,0.5063,0.8412
31,0.3093,3,0,0.4903,0.8325
32,0.0176,4,0,0.5148,0.764
33,0.0,4,0,0.4875,0.826
34,0.4902,2,0,0.487,0.7749
35,0.025,4,0,0.4761,0.7752
36,0.5726,2,0,0.4647,0.7767
37,0.0314,4,0,0.5081,0.7861
38,0.0553,4,0,0.5194,0.8324
39,0.6381,2,0,0.4857,0.8124
40,0.6661,1,1,0.4774,0.7755
41,0.0797,4,0,0.4558,0.7846
42,0.6791,2,0,0.4473,0.8151
43,0.2178,3,0,0.504,0.8193
44,0.6888,2,0,0.4486,0.8006
45,0.967,1,1,0.4639,0.7604
46,0.2881,3,0,0.4912,0.7806
47,0.2944,3,0,0.486,0.8627
48,0.2721,3,0,0.4894,0.7531
49,0.5278,2,0,0.4817,0.7989
50,0.3264,3,0,0.4732,0.8495
51,0.1547,3,0,0.4562,0.7759
52,0.0071,3,0,0.465,0.8374
53,0.1228,4,0,0.4706,0.76
54,0.5219,2,0,0.4373,0.7196
55,0.3662,2,0,0.4582,0.7598
56,0.0955,4,0,0.4652,0.7527
57,0.1533,3,0,0.4576,0.7235
58,0.0761,4,0,0.4632,0.7594
59,0.0446,4,0,0.4822,0.7999
60,0.4334,3,0,0.4834,0.7506
61,0.3558,3,0,0.4965,0.7555
62,0.4717,2,0,0.4349,0.8061
63,0.0939,3,0,0.4554,0.7409
64,0.9315,1,1,0.4871,0.7802
65,0.0148,4,0,0.4264,0.7087
66,0.346,3,0,0.4366,0.7292
67,0.6277,2,0,0.4466,0.7501
68,0.8392,1,1,0.4985,0.7911
69,0.1931,3,0,0.4369,0.7258
70,1.0,1,1,0.4769,0.7237
71,0.7493,1,1,0.4534,0.7579
72,0.1177,4,0,0.4299,0.7611
73,0.8902,1,1,0.5076,0.7154
74,0.5908,2,0,0.4543,0.7291
75,0.417,2,0,0.4567,0.7757
76,0.3162,2,0,0.4587,0.706
77,0.2587,3,0,0.4559,0.75
78,0.0234,4,0,0.4886,0.7226
79,0.5854,2,0,0.4801,0.7786
80,0.0,4,0,0.4246,0.7523
81,0.1086,4,0,0.4824,0.7596
82,0.1164,4,0,0.4269,0.7155
83,0.6767,2,0,0.4461,0.7547
84,0.4102,3,0,0.4095,0.7523
85,0.5647,2,0,0.4581,0.7423
86,0.0,4,0,0.4301,0.7166
87,0.5505,2,0,0.4121,0.7284
88,0.6327,2,0,0.4577,0.6663
89,0.0761,4,0,0.4615,0.773
90,0.0688,4,0,0.461,0.7006
91,0.6985,1,1,0.4,0.707
92,0.4775,2,0,0.4608,0.6759
93,0.976,1,1,0.4222,0.7341
94,0.5563,2,0,0.4681,0.7282
95,0.2801,3,0,0.4384,0.7019
96,0.633,2,0,0.4298,0.6391
97,0.2018,3,0,0.4238,0.6862
98,0.0,4,0,0.4223,0.7198
99,0.1099,3,0,0.4078,0.712
100,0.0,4,0,0.3989,0.7015
101,0.1376,3,0,0.4119,0.6886
102,0.0061,4,0,0.4419,0.6524
103,0.484,2,0,0.389,0.7271
104,0.0805,3,0,0.4427,0.6535
105,0.3569,3,0,0.4176,0.689
106,0.0,4,0,0.4293,0.6626
107,0.0785,4,0,0.4293,0.7219
108,0.2564,3,0,0.4301,0.708
109,0.8929,1,1,0.4109,0.6783
110,0.7648,2,0,0.4104,0.7082
111,0.0767,3,0,0.4261,0.6412
112,0.4505,2,0,0.3864,0.6821
113,0.1872,3,0,0.3822,0.6513
114,0.6912,2,0,0.3958,0.7122
115,0.3413,3,0,0.4097,0.6912
116,0.0304,4,0,0.4413,0.6979
117,0.2356,3,0,0.4028,0.6603
118,0.3877,2,0,0.4408,0.6978
119,0.3222,3,0,0.4101,0.6405
120,0.6994,2,0,0.3896,0.6433
121,0.6063,2,0,0.4206,0.6657
122,0.6562,2,0,0.3918,0.6415
123,0.0,4,0,0.4006,0.6893
124,0.1259,3,0,0.3678,0.6524
125,0.6344,2,0,0.3633,0.6327
126,1.0,1,1,0.4036,0.6273
127,0.4469,2,0,0.4135,0.6831
128,0.2111,3,0,0.4293,0.5844
129,0.0,4,0,0.3732,0.629
130,0.613,2,0,0.4177,0.6999
131,0.7145,2,0,0.4137,0.6461
132,0.5537,2,0,0.3765,0.6764
133,0.269,3,0,0.4131,0.6663
134,0.1384,4,0,0.4032,0.6464
135,0.0899,4,0,0.4062,0.6009
136,0.0113,4,0,0.4257,0.6094
137,0.4257,2,0,0.4034,0.6075
138,0.0875,4,0,0.3376,0.6608
139,0.6133,2,0,0.3858,0.6651
140,0.3307,3,0,0.347,0.6172
141,0.0493,4,0,0.3804,0.6398
142,0.4286,2,0,0.3783,0.641
143,0.0438,4,0,0.3638,0.6417
144,0.0454,4,0,0.3539,0.6151
145,0.3895,3,0,0.3629,0.6857
146,0.0113,4,0,0.3658,0.6555
147,0.1927,3,0,0.3689,0.636
148,0.0575,4,0,0.3727,0.6168
149,0.0621,4,0,0.3813,0.606
150,0.0,4,0,0.3624,0.6416
151,0.0612,4,0,0.3933,0.614
152,0.0493,4,0,0.366,0.6309
153,0.1145,4,0,0.3843,0.5685
154,0.6431,1,1,0.3588,0.6083
155,0.2812,3,0,0.4188,0.6195
156,0.8487,1,1,0.3723,0.6505
157,0.9772,1,1,0.3947,0.5924
158,0.2132,3,0,0.3472,0.5742
159,0.8609,1,1,0.3512,0.6307
160,0.0454,4,0,0.3542,0.6141
161,0.3165,3,0,0.4078,0.563
162,0.0,4,0,0.3531,0.5632
163,0.2929,3,0,0.34,0.5926
164,0.1291,3,0,0.3816,0.6082
165,0.4635,2,0,0.3558,0.6511
166,0.6628,2,0,0.3494,0.5756
167,0.5469,2,0,0.3406,0.6229
168,0.5302,2,0,0.3617,0.5466
169,0.8838,1,1,0.3723,0.6149
170,0.1303,4,0,0.3659,0.648
171,0.7248,2,0,0.3396,0.6057
172,0.1408,3,0,0.3285,0.5801
173,0.2603,3,0,0.267,0.6359
174,0.3895,3,0,0.3276,0.6081
175,0.3025,3,0,0.3382,0.6009
176,0.0974,4,0,0.3436,0.5645
177,0.2837,3,0,0.3384,0.6046
178,0.7513,1,1,0.399,0.5719
179,0.4451,2,0,0.3519,0.6005
180,0.206,3,0,0.3165,0.5913
181,0.0503,4,0,0.3535,0.6211
182,0.229,3,0,0.3473,0.57
183,0.0901,3,0,0.3176,0.5816
184,0.022,4,0,0.3435,0.6087
185,0.6394,2,0,0.3475,0.5765
186,0.0,4,0,0.3565,0.5816
187,0.4847,2,0,0.2996,0.5688
188,0.2494,3,0,0.3473,0.5749
189,0.4587,2,0,0.3616,0.5986
190,0.731,2,0,0.3704,0.6323
191,0.5896,2,0,0.3072,0.5257
192,0.21,3,0,0.328,0.5368
193,0.4337,2,0,0.3291,0.5693
194,0.6099,2,0,0.3427,0.5738
195,0.2618,3,0,0.3251,0.5646
196,0.0496,4,0,0.3132,0.5533
197,0.0,4,0,0.3311,0.5317
198,0.7779,1,1,0.3191,0.5491
199,0.1645,3,0,0.3363,0.5907
200,0.4283,3,0,0.308,0.5678
201,0.0197,4,0,0.303,0.584
202,0.7398,2,0,0.3489,0.5265
203,0.0,4,0,0.3672,0.6047
204,0.3339,3,0,0.3574,0.5433
205,0.5209,2,0,0.3187,0.5732
206,0.4144,2,0,0.3404,0.554
207,0.2572,3,0,0.3048,0.5404
208,0.4953,2,0,0.3279,0.5684
209,0.0,4,0,0.3053,0.5722
210,0.1654,3,0,0.3413,0.6336
211,0.3771,3,0,0.3378,0.571
212,0.1268,3,0,0.3561,0.5694
213,0.199,3,0,0.3092,0.5838
214,0.6789,2,0,0.3445,0.5642
215,0.3166,3,0,0.3223,0.546
216,0.263,3,0,0.3129,0.5557
217,0.387,2,0,0.3173,0.5704
218,0.7459,1,1,0.3438,0.5853
219,0.4312,2,0,0.3064,0.4971
220,0.4416,2,0,0.3066,0.4846
221,0.4386,3,0,0.2662,0.5806
222,0.0477,4,0,0.3038,0.5151
223,0.3112,3,0,0.3112,0.4881
224,0.0,4,0,0.2899,0.4842
225,0.6524,2,0,0.2842,0.5896
226,0.026,4,0,0.2666,0.5608
227,0.0275,3,0,0.2912,0.5094
228,0.3752,3,0,0.3305,0.5095
229,0.0146,4,0,0.2717,0.5327
230,0.2259,3,0,0.3164,0.5557
231,0.8526,1,1,0.3175,0.52
232,0.7726,1,1,0.3482,0.5041
233,0.0661,4,0,0.3191,0.5606
234,0.13,4,0,0.3167,0.5246
235,0.7705,1,1,0.3042,0.5186
236,0.0,4,0,0.2962,0.541
237,0.6565,2,0,0.3124,0.458
238,0.4879,2,0,0.3196,0.5352
239,0.5298,2,0,0.2973,0.5322
240,0.1122,4,0,0.319,0.4774
241,0.3936,2,0,0.3501,0.4594
242,0.2053,3,0,0.2932,0.4997
243,0.5219,2,0,0.293,0.521
244,0.107,4,0,0.2885,0.523
245,0.2669,3,0,0.2923,0.5645
246,0.1044,4,0,0.3133,0.5177
247,0.4229,3,0,0.2899,0.4692
248,0.0679,4,0,0.2912,0.5026
249,0.0,4,0,0.2817,0.4701
250,0.3373,3,0,0.2958,0.5026
251,0.4797,2,0,0.2752,0.5491
252,0.1724,3,0,0.2601,0.5196
253,0.884,1,1,0.2928,0.4831
254,0.2455,3,0,0.3228,0.5214
255,0.1856,3,0,0.2767,0.4793
256,0.2129,3,0,0.261,0.4187
257,0.03,4,0,0.3194,0.4635
258,0.103,4,0,0.2813,0.5132
259,0.7261,2,0,0.2986,0.5216
260,0.4922,2,0,0.2644,0.5489
261,0.1316,3,0,0.2785,0.5066
262,0.6733,2,0,0.3057,0.5357
263,0.5749,2,0,0.2796,0.5131
264,0.3661,3,0,0.2792,0.5213
265,0.1297,4,0,0.2458,0.5252
266,0.0618,4,0,0.2907,0.5058
267,0.8753,1,1,0.2585,0.5224
268,0.0,4,0,0.296,0.4681
269,0.0198,4,0,0.277,0.4153
270,0.454,2,0,0.2781,0.5066
271,0.4471,3,0,0.287,0.4973
272,0.5175,2,0,0.2784,0.4588
273,0.5802,2,0,0.3046,0.4461
274,0.4878,2,0,0.3008,0.4869
275,0.1993,3,0,0.2446,0.5035
276,0.2217,3,0,0.2649,0.4966
277,0.3183,3,0,0.2844,0.4494
